Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
3.28874344642983e+06	1.77634952527274e-02,0.00000000000000e+00	8.15045809603153e-05,0.00000000000000e+00	8.15045809603153e-05,0.00000000000000e+00	1.77634952527259e-02,0.00000000000000e+00
3.29632478305098e+06	1.77548705124856e-02,0.00000000000000e+00	8.16131600923608e-05,0.00000000000000e+00	8.16131600923608e-05,0.00000000000000e+00	1.77548705124846e-02,0.00000000000000e+00
3.30392359645799e+06	1.77462186039873e-02,0.00000000000000e+00	8.17215950667115e-05,0.00000000000000e+00	8.17215950667115e-05,0.00000000000000e+00	1.77462186039892e-02,0.00000000000000e+00
3.31153992693902e+06	1.77375394877252e-02,0.00000000000000e+00	8.18298841560151e-05,0.00000000000000e+00	8.18298841560151e-05,0.00000000000000e+00	1.77375394877261e-02,0.00000000000000e+00
3.31917381487508e+06	1.77288331244877e-02,0.00000000000000e+00	8.19380256292175e-05,0.00000000000000e+00	8.19380256292175e-05,0.00000000000000e+00	1.77288331244864e-02,0.00000000000000e+00
3.32682530074030e+06	1.77200994753304e-02,0.00000000000000e+00	8.20460177514284e-05,0.00000000000000e+00	8.20460177514284e-05,0.00000000000000e+00	1.77200994753303e-02,0.00000000000000e+00
3.33449442510209e+06	1.77113385016340e-02,0.00000000000000e+00	8.21538587841645e-05,0.00000000000000e+00	8.21538587841645e-05,0.00000000000000e+00	1.77113385016319e-02,0.00000000000000e+00
3.34218122862138e+06	1.77025501650434e-02,0.00000000000000e+00	8.22615469852144e-05,0.00000000000000e+00	8.22615469852144e-05,0.00000000000000e+00	1.77025501650435e-02,0.00000000000000e+00
3.34988575205283e+06	1.76937344275288e-02,0.00000000000000e+00	8.23690806088151e-05,0.00000000000000e+00	8.23690806088151e-05,0.00000000000000e+00	1.76937344275263e-02,0.00000000000000e+00
3.35760803624508e+06	1.76848912513356e-02,0.00000000000000e+00	8.24764579056235e-05,0.00000000000000e+00	8.24764579056235e-05,0.00000000000000e+00	1.76848912513367e-02,0.00000000000000e+00
3.36534812214089e+06	1.76760205990405e-02,0.00000000000000e+00	8.25836771228136e-05,0.00000000000000e+00	8.25836771228136e-05,0.00000000000000e+00	1.76760205990402e-02,0.00000000000000e+00
3.37310605077744e+06	1.76671224335064e-02,0.00000000000000e+00	8.26907365040920e-05,0.00000000000000e+00	8.26907365040921e-05,0.00000000000000e+00	1.76671224335073e-02,0.00000000000000e+00
3.38088186328649e+06	1.76581967179188e-02,0.00000000000000e+00	8.27976342897586e-05,0.00000000000000e+00	8.27976342897586e-05,0.00000000000000e+00	1.76581967179185e-02,0.00000000000000e+00
3.38867560089462e+06	1.76492434157584e-02,0.00000000000000e+00	8.29043687167156e-05,0.00000000000000e+00	8.29043687167156e-05,0.00000000000000e+00	1.76492434157591e-02,0.00000000000000e+00
3.39648730492345e+06	1.76402624908422e-02,0.00000000000000e+00	8.30109380186073e-05,0.00000000000000e+00	8.30109380186073e-05,0.00000000000000e+00	1.76402624908409e-02,0.00000000000000e+00
3.40431701678986e+06	1.76312539072853e-02,0.00000000000000e+00	8.31173404257719e-05,0.00000000000000e+00	8.31173404257719e-05,0.00000000000000e+00	1.76312539072846e-02,0.00000000000000e+00
3.41216477800620e+06	1.76222176295281e-02,0.00000000000000e+00	8.32235741653231e-05,0.00000000000000e+00	8.32235741653231e-05,0.00000000000000e+00	1.76222176295289e-02,0.00000000000000e+00
3.42003063018053e+06	1.76131536223479e-02,0.00000000000000e+00	8.33296374612665e-05,0.00000000000000e+00	8.33296374612665e-05,0.00000000000000e+00	1.76131536223474e-02,0.00000000000000e+00
3.42791461501681e+06	1.76040618508235e-02,0.00000000000000e+00	8.34355285344116e-05,0.00000000000000e+00	8.34355285344116e-05,0.00000000000000e+00	1.76040618508221e-02,0.00000000000000e+00
3.43581677431513e+06	1.75949422803799e-02,0.00000000000000e+00	8.35412456025883e-05,0.00000000000000e+00	8.35412456025883e-05,0.00000000000000e+00	1.75949422803806e-02,0.00000000000000e+00
