Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
3.45963271843016e+06	7.96182000920179e-03,0.00000000000000e+00	1.67247537795008e-04,0.00000000000000e+00	2.39504758857057e-05,0.00000000000000e+00	2.39504758857057e-05,0.00000000000000e+00	7.96182000920112e-03,0.00000000000000e+00
3.46760799550823e+06	7.94640749813764e-03,0.00000000000000e+00	1.66935898750701e-04,0.00000000000000e+00	2.39483661410828e-05,0.00000000000000e+00	2.39483661410828e-05,0.00000000000000e+00	7.94640749813651e-03,0.00000000000000e+00
3.47560165749871e+06	7.93101362512004e-03,0.00000000000000e+00	1.66624637174881e-04,0.00000000000000e+00	2.39461825900983e-05,0.00000000000000e+00	2.39461825900983e-05,0.00000000000000e+00	7.93101362511965e-03,0.00000000000000e+00
3.48361374678318e+06	7.91563843263467e-03,0.00000000000000e+00	1.66313753859513e-04,0.00000000000000e+00	2.39439252472291e-05,0.00000000000000e+00	2.39439252472291e-05,0.00000000000000e+00	7.91563843263494e-03,0.00000000000000e+00
3.49164430584096e+06	7.90028196274948e-03,0.00000000000000e+00	1.66003249587794e-04,0.00000000000000e+00	2.39415941274377e-05,0.00000000000000e+00	2.39415941274377e-05,0.00000000000000e+00	7.90028196274859e-03,0.00000000000000e+00
3.49969337724927e+06	7.88494425711940e-03,0.00000000000000e+00	1.65693125134368e-04,0.00000000000000e+00	2.39391892462008e-05,0.00000000000000e+00	2.39391892462009e-05,0.00000000000000e+00	7.88494425711915e-03,0.00000000000000e+00
3.50776100368348e+06	7.86962535698775e-03,0.00000000000000e+00	1.65383381265130e-04,0.00000000000000e+00	2.39367106194788e-05,0.00000000000000e+00	2.39367106194788e-05,0.00000000000000e+00	7.86962535698778e-03,0.00000000000000e+00
3.51584722791734e+06	7.85432530319364e-03,0.00000000000000e+00	1.65074018737524e-04,0.00000000000000e+00	2.39341582637551e-05,0.00000000000000e+00	2.39341582637551e-05,0.00000000000000e+00	7.85432530319238e-03,0.00000000000000e+00
3.52395209282321e+06	7.83904413615065e-03,0.00000000000000e+00	1.64765038300187e-04,0.00000000000000e+00	2.39315321959837e-05,0.00000000000000e+00	2.39315321959837e-05,0.00000000000000e+00	7.83904413615078e-03,0.00000000000000e+00
3.53207564137228e+06	7.82378189588129e-03,0.00000000000000e+00	1.64456440693373e-04,0.00000000000000e+00	2.39288324336474e-05,0.00000000000000e+00	2.39288324336474e-05,0.00000000000000e+00	7.82378189588076e-03,0.00000000000000e+00
3.54021791663480e+06	7.80853862198797e-03,0.00000000000000e+00	1.64148226648706e-04,0.00000000000000e+00	2.39260589947192e-05,0.00000000000000e+00	2.39260589947192e-05,0.00000000000000e+00	7.80853862198805e-03,0.00000000000000e+00
3.54837896178028e+06	7.79331435367173e-03,0.00000000000000e+00	1.63840396889298e-04,0.00000000000000e+00	2.39232118976774e-05,0.00000000000000e+00	2.39232118976774e-05,0.00000000000000e+00	7.79331435367217e-03,0.00000000000000e+00
