Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.49476702848587e+06	1.29811950742430e-02,0.00000000000000e+00	3.30178499151754e-05,0.00000000000000e+00	3.30178499151732e-05,0.00000000000000e+00	1.29811950742470e-02,0.00000000000000e+00
2.50051806043543e+06	1.30100683335845e-02,0.00000000000000e+00	3.32413458152294e-05,0.00000000000000e+00	3.32413458152309e-05,0.00000000000000e+00	1.30100683335823e-02,0.00000000000000e+00
2.50628234988282e+06	1.30389830251898e-02,0.00000000000000e+00	3.34662375807935e-05,0.00000000000000e+00	3.34662375807950e-05,0.00000000000000e+00	1.30389830251875e-02,0.00000000000000e+00
2.51205992738974e+06	1.30679388772977e-02,0.00000000000000e+00	3.36925317239783e-05,0.00000000000000e+00	3.36925317239804e-05,0.00000000000000e+00	1.30679388772991e-02,0.00000000000000e+00
2.51785082358832e+06	1.30969356131832e-02,0.00000000000000e+00	3.39202347463362e-05,0.00000000000000e+00	3.39202347463335e-05,0.00000000000000e+00	1.30969356131800e-02,0.00000000000000e+00
2.52365506918133e+06	1.31259729510861e-02,0.00000000000000e+00	3.41493531378800e-05,0.00000000000000e+00	3.41493531378788e-05,0.00000000000000e+00	1.31259729510844e-02,0.00000000000000e+00
2.52947269494229e+06	1.31550506041830e-02,0.00000000000000e+00	3.43798933761706e-05,0.00000000000000e+00	3.43798933761708e-05,0.00000000000000e+00	1.31550506041842e-02,0.00000000000000e+00
2.53530373171568e+06	1.31841682805422e-02,0.00000000000000e+00	3.46118619253633e-05,0.00000000000000e+00	3.46118619253651e-05,0.00000000000000e+00	1.31841682805421e-02,0.00000000000000e+00
2.54114821041707e+06	1.32133256830460e-02,0.00000000000000e+00	3.48452652352436e-05,0.00000000000000e+00	3.48452652352453e-05,0.00000000000000e+00	1.32133256830445e-02,0.00000000000000e+00
2.54700616203331e+06	1.32425225093486e-02,0.00000000000000e+00	3.50801097402673e-05,0.00000000000000e+00	3.50801097402679e-05,0.00000000000000e+00	1.32425225093486e-02,0.00000000000000e+00
2.55287761762267e+06	1.32717584518350e-02,0.00000000000000e+00	3.53164018584253e-05,0.00000000000000e+00	3.53164018584260e-05,0.00000000000000e+00	1.32717584518381e-02,0.00000000000000e+00
2.55876260831503e+06	1.33010331975610e-02,0.00000000000000e+00	3.55541479903647e-05,0.00000000000000e+00	3.55541479903662e-05,0.00000000000000e+00	1.33010331975621e-02,0.00000000000000e+00
2.56466116531203e+06	1.33303464281992e-02,0.00000000000000e+00	3.57933545183134e-05,0.00000000000000e+00	3.57933545183096e-05,0.00000000000000e+00	1.33303464282012e-02,0.00000000000000e+00
2.57057331988722e+06	1.33596978199767e-02,0.00000000000000e+00	3.60340278049541e-05,0.00000000000000e+00	3.60340278049548e-05,0.00000000000000e+00	1.33596978199765e-02,0.00000000000000e+00
2.57649910338625e+06	1.33890870436465e-02,0.00000000000000e+00	3.62761741923995e-05,0.00000000000000e+00	3.62761741923997e-05,0.00000000000000e+00	1.33890870436450e-02,0.00000000000000e+00
2.58243854722705e+06	1.34185137644201e-02,0.00000000000000e+00	3.65198000011498e-05,0.00000000000000e+00	3.65198000011490e-05,0.00000000000000e+00	1.34185137644157e-02,0.00000000000000e+00
2.58839168289996e+06	1.34479776418912e-02,0.00000000000000e+00	3.67649115288215e-05,0.00000000000000e+00	3.67649115288239e-05,0.00000000000000e+00	1.34479776418892e-02,0.00000000000000e+00
2.59435854196790e+06	1.34774783300341e-02,0.00000000000000e+00	3.70115150492108e-05,0.00000000000000e+00	3.70115150492122e-05,0.00000000000000e+00	1.34774783300372e-02,0.00000000000000e+00
2.60033915606656e+06	1.35070154771166e-02,0.00000000000000e+00	3.72596168110315e-05,0.00000000000000e+00	3.72596168110296e-05,0.00000000000000e+00	1.35070154771151e-02,0.00000000000000e+00
2.60633355690458e+06	1.35365887256312e-02,0.00000000000000e+00	3.75092230366626e-05,0.00000000000000e+00	3.75092230366622e-05,0.00000000000000e+00	1.35365887256306e-02,0.00000000000000e+00
2.61234177626367e+06	1.35661977122749e-02,0.00000000000000e+00	3.77603399212084e-05,0.00000000000000e+00	3.77603399212109e-05,0.00000000000000e+00	1.35661977122749e-02,0.00000000000000e+00
